epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,187847024.0,0.001,187847024.0,139766048.0,139766048.0
1,77400792.0,0.001,77400792.0,30468696.0,30468696.0
2,25012714.0,0.001,25012714.0,12811956.0,12811956.0
3,19711996.0,0.001,19711996.0,6920797.0,6920797.0
4,16846192.0,0.001,16846192.0,4852983.5,4852983.5
5,4857254.0,0.001,4857254.0,2034313.625,2034313.625
6,3825846.5,0.001,3825846.5,4932053.5,4932053.5
7,6465304.0,0.001,6465304.0,4883157.5,4883157.5
8,33780408.0,0.001,33780408.0,18120938.0,18120938.0
9,10211695.0,0.001,10211695.0,3378800.75,3378800.75
10,3747081.0,0.001,3747081.0,4008814.25,4008814.25
11,2737499.0,0.001,2737499.0,2153180.75,2153180.75
12,1934368.5,0.001,1934368.5,2478786.25,2478786.25
13,2895313.0,0.001,2895313.0,115964728.0,115964728.0
14,5452049.5,0.0005,5452049.5,963782.875,963782.875
15,834351.6875,0.0005,834351.6875,594417.4375,594417.4375
16,598859.4375,0.0005,598859.4375,1228612.625,1228612.625
17,532223.5,0.0005,532223.5,439763.5,439763.5
18,432209.09375,0.0005,432209.09375,368452.9375,368452.9375
19,470640.875,0.0005,470640.875,282854.53125,282854.53125
20,423890.625,0.0005,423890.65625,1630403.375,1630403.375
21,478030.40625,0.0005,478030.40625,580644.6875,580644.6875
22,422990.40625,0.0005,422990.40625,220117.890625,220117.890625
23,547046.875,0.0005,547046.875,294139.8125,294139.8125
24,427092.8125,0.0005,427092.8125,275305.90625,275305.90625
25,528475.6875,0.0005,528475.6875,258006.65625,258006.65625
26,400405.84375,0.0005,400405.84375,259960.546875,259960.546875
27,1648358.125,0.0005,1648358.125,371285.625,371285.625
28,292319.8125,0.0005,292319.8125,200238.09375,200238.09375
29,371817.71875,0.0005,371817.71875,320373.84375,320373.84375
30,308058.9375,0.0005,308058.9375,263530.9375,263530.9375
31,350533.375,0.0005,350533.375,291851.25,291851.25
32,361664.875,0.0005,361664.875,268559.5625,268559.5625
33,303189.28125,0.0005,303189.28125,170359.765625,170359.765625
34,332819.625,0.0005,332819.625,145965.703125,145965.703125
35,245970.140625,0.0005,245970.140625,310538.75,310538.75
36,305046.6875,0.0005,305046.6875,297478.5625,297478.5625
37,295782.46875,0.0005,295782.46875,351721.1875,351721.1875
38,264749.9375,0.0005,264749.9375,208045.453125,208045.453125
39,274570.625,0.0005,274570.625,275682.53125,275682.53125
40,326224.875,0.0005,326224.875,371883.9375,371883.9375
41,239753.78125,0.0005,239753.78125,194088.15625,194088.15625
42,265585.5625,0.0005,265585.5625,205291.6875,205291.6875
43,105167.828125,0.00025,105167.828125,113059.8203125,113059.8203125
44,87921.9140625,0.00025,87921.9140625,154571.078125,154571.078125
45,86513.3984375,0.00025,86513.3984375,121621.6171875,121621.6171875
46,91917.8046875,0.00025,91917.8046875,108078.8828125,108078.8828125
47,91687.921875,0.00025,91687.921875,112453.640625,112453.640625
48,98316.4921875,0.00025,98316.4921875,153993.46875,153993.46875
49,98083.0234375,0.00025,98083.0234375,113479.28125,113479.28125
50,112193.0078125,0.00025,112193.0078125,87032.5546875,87032.5546875
51,108107.2734375,0.00025,108107.2734375,111045.7421875,111045.7421875
52,113793.7421875,0.00025,113793.7421875,217460.203125,217460.203125
53,106257.0625,0.00025,106257.0625,112525.609375,112525.609375
54,91653.28125,0.00025,91653.28125,86295.3125,86295.3203125
55,107650.328125,0.00025,107650.328125,102799.1484375,102799.1484375
56,114766.9921875,0.00025,114766.9921875,166167.703125,166167.703125
57,106546.03125,0.00025,106546.03125,79199.0859375,79199.0859375
58,105142.6953125,0.00025,105142.6953125,100960.9921875,100960.9921875
59,94410.15625,0.00025,94410.15625,102384.0625,102384.0625
60,105926.453125,0.00025,105926.453125,107682.25,107682.25
61,84502.6328125,0.00025,84502.6328125,89659.9296875,89659.9296875
62,105920.59375,0.00025,105920.59375,95629.2265625,95629.2265625
63,118987.265625,0.00025,118987.265625,196323.28125,196323.28125
64,98504.65625,0.00025,98504.65625,73837.2578125,73837.2578125
65,96724.8125,0.00025,96724.8125,107710.203125,107710.203125
66,80132.5625,0.00025,80132.5625,82431.671875,82431.671875
67,82371.96875,0.00025,82371.96875,288317.21875,288317.21875
68,98296.53125,0.00025,98296.53125,74459.6640625,74459.6640625
69,86297.328125,0.00025,86297.328125,102409.390625,102409.3984375
70,101838.125,0.00025,101838.125,148272.25,148272.25
71,98835.3671875,0.00025,98835.3671875,96940.6875,96940.6875
72,101210.7421875,0.00025,101210.7421875,102481.6640625,102481.6640625
73,55037.9453125,0.000125,55037.9453125,75197.890625,75197.890625
74,45906.25390625,0.000125,45906.25390625,58474.5625,58474.56640625
75,47347.0703125,0.000125,47347.0703125,54383.66796875,54383.66796875
76,54594.95703125,0.000125,54594.95703125,63781.765625,63781.765625
77,48957.421875,0.000125,48957.421875,65837.0703125,65837.0703125
78,47300.76171875,0.000125,47300.76171875,80879.6953125,80879.6953125
79,43800.69140625,0.000125,43800.69140625,54909.33984375,54909.33984375
80,52738.63671875,0.000125,52738.63671875,60613.11328125,60613.11328125
81,49664.20703125,0.000125,49664.20703125,89077.8515625,89077.8515625
82,55338.21484375,0.000125,55338.21484375,71246.40625,71246.40625
83,58281.30078125,0.000125,58281.30078125,71661.5234375,71661.5234375
84,40154.68359375,6.25e-05,40154.68359375,58759.57421875,58759.57421875
85,37391.375,6.25e-05,37391.375,55597.1015625,55597.1015625
86,35561.0390625,6.25e-05,35561.0390625,52637.015625,52637.015625
87,35843.7265625,6.25e-05,35843.7265625,58692.72265625,58692.72265625
88,35344.05859375,6.25e-05,35344.05859375,58189.4453125,58189.4453125
89,39695.80078125,6.25e-05,39695.80078125,58873.03515625,58873.03515625
90,38423.6328125,6.25e-05,38423.6328125,59484.37890625,59484.37890625
91,36909.078125,6.25e-05,36909.078125,58230.19921875,58230.19921875
92,35247.02734375,6.25e-05,35247.02734375,58933.87890625,58933.87890625
93,35983.46875,6.25e-05,35983.46875,60563.30078125,60563.30078125
94,36376.9375,6.25e-05,36376.9375,63791.51953125,63791.51953125
95,31550.52734375,3.125e-05,31550.52734375,55204.51953125,55204.51953125
96,29817.59765625,3.125e-05,29817.59765625,54235.96875,54235.96875
97,30169.693359375,3.125e-05,30169.693359375,57565.06640625,57565.06640625
98,30069.015625,3.125e-05,30069.015625,60199.828125,60199.828125
99,31014.53515625,3.125e-05,31014.53125,56728.265625,56728.265625
100,29729.470703125,3.125e-05,29729.470703125,61082.52734375,61082.52734375
101,30776.94140625,3.125e-05,30776.94140625,59140.7109375,59140.7109375
