epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,160013808.0,0.001,160013808.0,396019296.0,396019296.0
1,75308328.0,0.001,75308328.0,24781146.0,24781146.0
2,22622772.0,0.001,22622772.0,4904727.5,4904727.5
3,10208023.0,0.001,10208023.0,3142545.25,3142545.25
4,4456657.0,0.001,4456657.0,6737501.0,6737501.0
5,14218661.0,0.001,14218661.0,2044134.75,2044134.75
6,2490359.25,0.001,2490359.25,3987428.0,3987428.0
7,1778531.25,0.001,1778531.25,1080531.25,1080531.25
8,26104814.0,0.001,26104814.0,1853511.5,1853511.5
9,1800578.25,0.001,1800578.25,733139.375,733139.375
10,1424735.875,0.001,1424735.875,591371.5625,591371.5625
11,2083042.375,0.001,2083042.375,926992.875,926992.875
12,1109382.25,0.001,1109382.25,980325.5,980325.5
13,1398825.125,0.001,1398825.125,1941570.875,1941570.875
14,13374546.0,0.001,13374546.0,787321.625,787321.625
15,840395.9375,0.001,840395.9375,441582.09375,441582.09375
16,7425903.5,0.001,7425903.5,638152.0,638152.0
17,707781.875,0.001,707781.875,415072.96875,415072.96875
18,665816.125,0.001,665816.125,1210319.125,1210319.125
19,816321.5625,0.001,816321.5625,456403.25,456403.1875
20,529837.0,0.001,529837.0,294509.125,294509.125
21,842219.25,0.001,842219.25,493359.53125,493359.53125
22,433625.78125,0.001,433625.78125,328407.96875,328407.96875
23,905322.0625,0.001,905322.0625,3770596.0,3770596.0
24,655718.5625,0.001,655718.5625,349278.96875,349278.96875
25,539073.5625,0.001,539073.5625,262587.25,262587.25
26,607417.25,0.001,607417.25,195509.375,195509.375
27,5148485.0,0.001,5148485.0,1526573.5,1526573.5
28,475311.65625,0.001,475311.65625,254705.875,254705.875
29,511677.1875,0.001,511677.1875,255733.828125,255733.828125
30,295927.75,0.001,295927.75,1410344.25,1410344.25
31,526481.875,0.001,526481.875,220963.734375,220963.734375
32,11097589.0,0.001,11097589.0,3573866.75,3573866.75
33,1057065.625,0.001,1057065.625,441517.9375,441517.9375
