epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
34,454796.5,0.001,454796.5,351030.84375,351030.90625
35,236191.5625,0.0005,236191.5625,196019.28125,196019.28125
36,163003.28125,0.0005,163003.28125,210139.71875,210139.71875
37,149096.1875,0.0005,149096.1875,157241.546875,157241.546875
38,140785.171875,0.0005,140785.171875,142886.109375,142886.109375
39,140118.96875,0.0005,140118.96875,200540.734375,200540.734375
40,140901.640625,0.0005,140901.640625,185057.890625,185057.890625
41,174900.234375,0.0005,174900.234375,171796.421875,171796.421875
42,171114.640625,0.0005,171114.640625,145664.0,145664.0
43,184305.25,0.0005,184305.25,249973.96875,249973.96875
44,183767.953125,0.0005,183767.953125,551808.4375,551808.4375
45,200776.171875,0.0005,200776.171875,258084.265625,258084.265625
46,165270.640625,0.0005,165270.640625,272894.8125,272894.8125
47,83157.359375,0.00025,83157.359375,90960.7578125,90960.7578125
48,71721.0078125,0.00025,71721.0078125,87462.640625,87462.640625
49,71074.3359375,0.00025,71074.3359375,99568.3203125,99568.3203125
50,71751.5859375,0.00025,71751.5859375,89133.9375,89133.9375
51,74514.09375,0.00025,74514.09375,109399.234375,109399.2421875
52,77823.265625,0.00025,77823.265625,94005.25,94005.25
53,76822.71875,0.00025,76822.71875,91417.671875,91417.671875
54,82066.390625,0.00025,82066.390625,110823.265625,110823.265625
55,78981.5078125,0.00025,78981.5078125,106904.1484375,106904.1484375
56,79633.3125,0.00025,79633.3125,95844.171875,95844.171875
57,54109.45703125,0.000125,54109.45703125,77740.6953125,77740.6953125
58,51778.23828125,0.000125,51778.23828125,71337.2265625,71337.2265625
59,52428.94921875,0.000125,52428.94921875,81863.2734375,81863.2734375
60,52543.80859375,0.000125,52543.80859375,74234.921875,74234.921875
61,52623.38671875,0.000125,52623.38671875,78214.4375,78214.4375
62,51319.76953125,0.000125,51319.76953125,80225.9140625,80225.9140625
63,52536.9609375,0.000125,52536.9609375,78779.8984375,78779.8984375
64,51528.32421875,0.000125,51528.32421875,83388.71875,83388.71875
65,51763.27734375,0.000125,51763.27734375,104039.59375,104039.59375
66,50463.5390625,0.000125,50463.5390625,95957.0859375,95957.0859375
67,43037.63671875,6.25e-05,43037.63671875,66554.625,66554.625
68,41281.95703125,6.25e-05,41281.95703125,70708.4296875,70708.4296875
69,40853.9609375,6.25e-05,40853.9609375,64442.22265625,64442.22265625
70,41200.8046875,6.25e-05,41200.8046875,78249.4296875,78249.4296875
71,40608.02734375,6.25e-05,40608.02734375,66677.5625,66677.5625
72,40974.4453125,6.25e-05,40974.4453125,69185.75,69185.75
73,40648.2890625,6.25e-05,40648.2890625,71262.8125,71262.8125
74,40266.44140625,6.25e-05,40266.44140625,62951.73828125,62951.73828125
75,40179.7890625,6.25e-05,40179.7890625,64606.0625,64606.0625
76,39204.3984375,6.25e-05,39204.3984375,62713.875,62713.875
77,39156.71484375,6.25e-05,39156.71484375,60034.87890625,60034.87890625
78,39715.31640625,6.25e-05,39715.31640625,65109.3515625,65109.3515625
79,39212.23046875,6.25e-05,39212.23046875,58305.11328125,58305.11328125
80,39021.0,6.25e-05,39021.0,60680.73828125,60680.73828125
81,38314.13671875,6.25e-05,38314.13671875,67263.3671875,67263.3671875
82,38436.5,6.25e-05,38436.5,66675.6875,66675.6875
83,37975.4140625,6.25e-05,37975.4140625,57256.703125,57256.703125
84,36913.75390625,6.25e-05,36913.75390625,61904.5078125,61904.5078125
85,37065.7109375,6.25e-05,37065.7109375,56933.09765625,56933.09765625
86,36596.8203125,6.25e-05,36596.8203125,64308.71875,64308.71875
87,36825.42578125,6.25e-05,36825.42578125,59748.2734375,59748.2734375
88,36513.21484375,6.25e-05,36513.21484375,60340.8828125,60340.8828125
89,36236.31640625,6.25e-05,36236.31640625,61533.84765625,61533.84765625
90,36528.515625,6.25e-05,36528.515625,61677.80859375,61677.80859375
91,36442.92578125,6.25e-05,36442.92578125,59138.66796875,59138.66796875
92,35397.0234375,6.25e-05,35397.0234375,54844.1953125,54844.1953125
93,34962.58984375,6.25e-05,34962.58984375,54804.1328125,54804.1328125
94,34745.6953125,6.25e-05,34745.6953125,57665.1328125,57665.1328125
95,34792.5625,6.25e-05,34792.5625,64869.86328125,64869.86328125
96,34700.87890625,6.25e-05,34700.87890625,59334.6875,59334.6875
97,34145.69140625,6.25e-05,34145.68359375,57068.6796875,57068.6796875
98,33785.046875,6.25e-05,33785.046875,55322.828125,55322.828125
99,34370.21875,6.25e-05,34370.21875,61147.3828125,61147.3828125
100,34116.43359375,6.25e-05,34116.43359375,56983.14453125,56983.14453125
101,33445.95703125,6.25e-05,33445.95703125,60972.76171875,60972.76171875
102,30635.119140625,3.125e-05,30635.119140625,52982.12890625,52982.12890625
103,30289.443359375,3.125e-05,30289.443359375,49658.59765625,49658.59765625
104,30012.955078125,3.125e-05,30012.955078125,54826.7890625,54826.7890625
105,30289.40234375,3.125e-05,30289.40234375,52344.8046875,52344.8046875
106,29862.529296875,3.125e-05,29862.529296875,51070.78515625,51070.78515625
107,29783.505859375,3.125e-05,29783.505859375,53232.7890625,53232.7890625
108,29631.27734375,3.125e-05,29631.27734375,50266.78125,50266.78125
109,29655.189453125,3.125e-05,29655.189453125,53198.484375,53198.484375
110,29718.908203125,3.125e-05,29718.908203125,49504.26953125,49504.26953125
111,29304.537109375,3.125e-05,29304.537109375,50196.47265625,50196.47265625
112,29224.693359375,3.125e-05,29224.693359375,49709.94921875,49709.94921875
113,29017.974609375,3.125e-05,29017.974609375,49007.00390625,49007.00390625
114,29028.53125,3.125e-05,29028.53125,51071.91015625,51071.91015625
115,29266.556640625,3.125e-05,29266.556640625,48082.40625,48082.40625
116,28973.138671875,3.125e-05,28973.138671875,50298.21484375,50298.21484375
117,28950.431640625,3.125e-05,28950.431640625,50393.01953125,50393.01953125
118,28682.353515625,3.125e-05,28682.353515625,48901.234375,48901.234375
119,28658.607421875,3.125e-05,28658.607421875,48984.74609375,48984.74609375
120,28653.53125,3.125e-05,28653.53125,49699.1484375,49699.1484375
121,28557.68359375,3.125e-05,28557.685546875,50614.55859375,50614.55859375
122,28424.25390625,3.125e-05,28424.25390625,48417.8515625,48417.8515625
123,28442.66796875,3.125e-05,28442.66796875,50052.36328125,50052.36328125
124,27051.294921875,1.5625e-05,27051.294921875,47531.546875,47531.546875
125,26686.1875,1.5625e-05,26686.1875,47565.62890625,47565.62890625
126,26621.529296875,1.5625e-05,26621.529296875,48413.87890625,48413.87890625
127,26664.451171875,1.5625e-05,26664.451171875,47655.5546875,47655.5546875
128,26471.7734375,1.5625e-05,26471.7734375,47478.19140625,47478.19140625
129,26538.841796875,1.5625e-05,26538.841796875,47917.10546875,47917.10546875
130,26530.26953125,1.5625e-05,26530.26953125,47610.7265625,47610.7265625
131,26529.08203125,1.5625e-05,26529.08203125,47413.66796875,47413.66796875
132,26403.6640625,1.5625e-05,26403.6640625,46835.1484375,46835.1484375
133,26533.4140625,1.5625e-05,26533.4140625,46643.34765625,46643.34765625
134,25988.59375,1.5625e-05,25988.59375,46292.4140625,46292.4140625
135,26313.7421875,1.5625e-05,26313.7421875,47703.80859375,47703.80859375
136,26157.078125,1.5625e-05,26157.078125,48194.21875,48194.21875
137,26062.86328125,1.5625e-05,26062.86328125,48536.83984375,48536.83984375
138,26084.44921875,1.5625e-05,26084.44921875,46845.66015625,46845.66015625
139,26178.353515625,1.5625e-05,26178.353515625,46259.8515625,46259.8515625
140,25933.986328125,1.5625e-05,25933.986328125,46868.7265625,46868.7265625
141,26044.220703125,1.5625e-05,26044.220703125,45551.8515625,45551.8515625
142,25854.822265625,1.5625e-05,25854.822265625,48117.0625,48117.0625
143,25729.78515625,1.5625e-05,25729.78515625,46173.1796875,46173.1796875
144,25836.646484375,1.5625e-05,25836.646484375,46350.6796875,46350.6796875
145,25840.14453125,1.5625e-05,25840.14453125,47539.18359375,47539.18359375
146,25755.197265625,1.5625e-05,25755.197265625,45957.4765625,45957.4765625
147,25676.30078125,1.5625e-05,25676.30078125,47987.71875,47987.71875
148,25659.712890625,1.5625e-05,25659.712890625,46513.28515625,46513.28515625
149,25762.712890625,1.5625e-05,25762.712890625,46500.546875,46500.546875
150,24924.8125,1e-05,24924.8125,45485.9453125,45485.9453125
151,24937.96875,1e-05,24937.96875,46142.1171875,46142.1171875
152,24930.552734375,1e-05,24930.552734375,46356.68359375,46356.68359375
153,24799.634765625,1e-05,24799.634765625,46532.171875,46532.171875
154,24916.447265625,1e-05,24916.447265625,44893.08984375,44893.08984375
155,24694.783203125,1e-05,24694.783203125,45440.921875,45440.921875
156,24810.767578125,1e-05,24810.767578125,46505.23046875,46505.23046875
157,24971.1328125,1e-05,24971.1328125,47397.7109375,47397.7109375
158,24798.744140625,1e-05,24798.744140625,45951.2109375,45951.2109375
159,24868.619140625,1e-05,24868.619140625,45911.890625,45911.890625
160,24906.68359375,1e-05,24906.68359375,47252.44140625,47252.44140625
161,24804.509765625,1e-05,24804.509765625,45935.3984375,45935.3984375
162,24687.5625,1e-05,24687.5625,45141.7421875,45141.7421875
163,24622.046875,1e-05,24622.046875,46125.30859375,46125.30859375
164,24687.603515625,1e-05,24687.603515625,45656.5546875,45656.5546875
165,24506.287109375,1e-05,24506.287109375,44931.05078125,44931.05078125
166,24544.04296875,1e-05,24544.04296875,45667.60546875,45667.60546875
167,24543.822265625,1e-05,24543.822265625,44743.73046875,44743.73046875
168,24655.294921875,1e-05,24655.294921875,44914.73046875,44914.73046875
169,24479.2265625,1e-05,24479.2265625,44816.64453125,44816.64453125
170,24479.880859375,1e-05,24479.880859375,45266.6328125,45266.6328125
171,24473.63671875,1e-05,24473.63671875,45391.765625,45391.765625
172,24481.744140625,1e-05,24481.744140625,44414.390625,44414.390625
173,24363.638671875,1e-05,24363.638671875,44275.80078125,44275.80078125
174,24349.955078125,1e-05,24349.955078125,44695.69140625,44695.69140625
175,24454.4453125,1e-05,24454.4453125,44855.2109375,44855.2109375
176,24381.685546875,1e-05,24381.685546875,44707.93359375,44707.93359375
177,24246.3515625,1e-05,24246.349609375,46585.10546875,46585.10546875
178,24346.64453125,1e-05,24346.64453125,45092.9375,45092.9453125
179,24265.037109375,1e-05,24265.037109375,44605.9140625,44605.9140625
180,24198.0234375,1e-05,24198.0234375,44046.73828125,44046.73828125
181,24252.0078125,1e-05,24252.0078125,44474.23828125,44474.23828125
182,24112.99609375,1e-05,24112.99609375,44802.11328125,44802.11328125
183,24134.392578125,1e-05,24134.392578125,44244.0703125,44244.0703125
184,24049.6484375,1e-05,24049.6484375,43953.58984375,43953.58984375
185,24057.392578125,1e-05,24057.392578125,44942.23828125,44942.23828125
186,24008.705078125,1e-05,24008.705078125,43903.0,43903.0
187,24049.869140625,1e-05,24049.869140625,44146.01953125,44146.01953125
188,24053.8203125,1e-05,24053.8203125,44619.83203125,44619.8359375
189,24057.3359375,1e-05,24057.3359375,44247.11328125,44247.11328125
190,24020.916015625,1e-05,24020.916015625,45690.59765625,45690.59765625
191,23934.083984375,1e-05,23934.083984375,44695.44921875,44695.44921875
192,24031.822265625,1e-05,24031.822265625,44224.0234375,44224.0234375
193,23849.1171875,1e-05,23849.1171875,43796.89453125,43796.89453125
194,23907.26953125,1e-05,23907.26953125,45322.796875,45322.796875
195,23748.62109375,1e-05,23748.62109375,43922.296875,43922.296875
196,23925.787109375,1e-05,23925.7890625,43768.69140625,43768.69140625
197,23876.71484375,1e-05,23876.71484375,43746.30078125,43746.30078125
198,23765.373046875,1e-05,23765.373046875,44490.18359375,44490.18359375
199,23677.849609375,1e-05,23677.849609375,46252.953125,46252.953125
